Grating Beta,	Calculation Beta,	Calculation Freq
17951.9580,	17774.4222,	1993026379437.3647
17951.9580,	17784.7363,	1993654697968.0828
17951.9580,	17792.6967,	1994283016498.8005
17951.9580,	17803.0134,	1994911335029.5186
17951.9580,	17810.9762,	1995539653560.2366
17951.9580,	17821.2954,	1996167972090.9543
17951.9580,	17831.6159,	1996796290621.6724
17951.9580,	17839.5824,	1997424609152.3904
17951.9580,	17849.9054,	1998052927683.1084
17951.9580,	17857.8743,	1998681246213.8262
17951.9580,	17868.1998,	1999309564744.5442
17951.9580,	17876.1711,	1999937883275.2622
17951.9580,	17886.4991,	2000566201805.9802
17951.9580,	17894.4728,	2001194520336.6982
17951.9580,	17904.8034,	2001822838867.4163
17951.9580,	17912.7794,	2002451157398.1340
17951.9580,	17923.1125,	2003079475928.8521
17951.9580,	17933.4468,	2003707794459.5698
17951.9580,	17941.4265,	2004336112990.2878
17951.9580,	17951.7634,	2004964431521.0059
17951.9580,	17959.7454,	2005592750051.7239
17951.9580,	17970.0848,	2006221068582.4417
17951.9580,	17978.0692,	2006849387113.1594
17951.9580,	17988.4110,	2007477705643.8777
17951.9580,	17996.3978,	2008106024174.5957
17951.9580,	18006.7422,	2008734342705.3135
17951.9580,	18014.7313,	2009362661236.0317
17951.9580,	18025.0781,	2009990979766.7490
17951.9580,	18033.0697,	2010619298297.4675
17951.9580,	18043.4190,	2011247616828.1855
17951.9580,	18051.4128,	2011875935358.9033
17951.9580,	18061.7646,	2012504253889.6213
17951.9580,	18069.7608,	2013132572420.3389
17951.9580,	18080.1150,	2013760890951.0571
17951.9580,	18088.1136,	2014389209481.7754
17951.9580,	18098.4703,	2015017528012.4932
17951.9580,	18106.4712,	2015645846543.2112
17951.9580,	18116.8304,	2016274165073.9290
17951.9580,	18124.8336,	2016902483604.6470
17951.9580,	17778.8543,	2974459924418.8164
17951.9580,	17787.2924,	2975088242949.5337
17951.9580,	17800.4146,	2975716561480.2520
17951.9580,	17813.5389,	2976344880010.9697
17951.9580,	17826.6655,	2976973198541.6880
17951.9580,	17839.7943,	2977601517072.4058
17951.9580,	17848.2422,	2978229835603.1235
17951.9580,	17861.3753,	2978858154133.8413
17951.9580,	17874.5105,	2979486472664.5601
17951.9580,	17887.6479,	2980114791195.2778
17951.9580,	17896.1036,	2980743109725.9956
17951.9580,	17909.2453,	2981371428256.7139
17951.9580,	17922.3892,	2981999746787.4312
17951.9580,	17935.5352,	2982628065318.1494
17951.9580,	17943.9987,	2983256383848.8677
17951.9580,	17957.1490,	2983884702379.5854
17951.9580,	17970.3014,	2984513020910.3032
17951.9580,	17983.4561,	2985141339441.0210
17951.9580,	17991.9273,	2985769657971.7393
17951.9580,	18005.0862,	2986397976502.4570
17951.9580,	18018.2472,	2987026295033.1753
17951.9580,	18031.4104,	2987654613563.8931
17951.9580,	18039.8894,	2988282932094.6104
17951.9580,	18053.0568,	2988911250625.3291
17951.9580,	18066.2264,	2989539569156.0469
17951.9580,	18079.3981,	2990167887686.7651
17951.9580,	18087.8848,	2990796206217.4829
17951.9580,	18101.0608,	2991424524748.2002
17951.9580,	18114.2389,	2992052843278.9189
17951.9580,	18127.4192,	2992681161809.6367
17951.9580,	17774.6022,	4075273990236.6792
17951.9580,	17791.1989,	4075902308767.3975
17951.9580,	17800.8700,	4076530627298.1152
17951.9580,	17810.5429,	4077158945828.8335
17951.9580,	17820.2174,	4077787264359.5513
17951.9580,	17829.8936,	4078415582890.2690
17951.9580,	17846.5021,	4079043901420.9873
17951.9580,	17856.1823,	4079672219951.7056
17951.9580,	17865.8642,	4080300538482.4233
17951.9580,	17875.5479,	4080928857013.1411
17951.9580,	17885.2332,	4081557175543.8594
17951.9580,	17901.8535,	4082185494074.5767
17951.9580,	17911.5428,	4082813812605.2954
17951.9580,	17921.2338,	4083442131136.0132
17951.9580,	17930.9265,	4084070449666.7310
17951.9580,	17947.5562,	4084698768197.4492
17951.9580,	17957.2530,	4085327086728.1670
17951.9580,	17966.9514,	4085955405258.8853
17951.9580,	17976.6514,	4086583723789.6030
17951.9580,	17986.3532,	4087212042320.3208
17951.9580,	18002.9947,	4087840360851.0386
17951.9580,	18012.7005,	4088468679381.7568
17951.9580,	18022.4080,	4089096997912.4736
17951.9580,	18032.1171,	4089725316443.1924
17951.9580,	18048.7680,	4090353634973.9106
17951.9580,	18058.4812,	4090981953504.6284
17951.9580,	18068.1960,	4091610272035.3462
17951.9580,	18077.9125,	4092238590566.0645
17951.9580,	18087.6307,	4092866909096.7822
17951.9580,	18104.2933,	4093495227627.5005
17951.9580,	18114.0155,	4094123546158.2183
17951.9580,	18123.7394,	4094751864688.9365
17951.9580,	17777.5883,	5045397801665.2070
17951.9580,	17828.4212,	5052309305503.1055
17951.9580,	17879.3227,	5059220809341.0029
17951.9580,	17912.5541,	5063619039056.0283
17951.9580,	17945.8145,	5068017268771.0537
17951.9580,	17961.3426,	5069902224363.2080
17951.9580,	17994.6453,	5074300454078.2344
17951.9580,	18010.1929,	5076185409670.3877
17951.9580,	18043.5380,	5080583639385.4131
17951.9580,	18059.1050,	5082468594977.5674
17951.9580,	18108.0790,	5088751780284.7471
17951.9580,	18123.6717,	5090636735876.9004
35903.9160,	35550.3746,	3319406797782.9751
35903.9160,	35559.5167,	3320035116313.6934
35903.9160,	35566.2463,	3320663434844.4111
35903.9160,	35575.3889,	3321291753375.1289
35903.9160,	35582.1190,	3321920071905.8472
35903.9160,	35591.2621,	3322548390436.5649
35903.9160,	35597.9927,	3323176708967.2837
35903.9160,	35607.1362,	3323805027498.0015
35903.9160,	35613.8672,	3324433346028.7192
35903.9160,	35623.0113,	3325061664559.4370
35903.9160,	35629.7428,	3325689983090.1553
35903.9160,	35638.8873,	3326318301620.8730
35903.9160,	35645.6192,	3326946620151.5908
35903.9160,	35654.7643,	3327574938682.3086
35903.9160,	35661.4967,	3328203257213.0259
35903.9160,	35670.6422,	3328831575743.7446
35903.9160,	35677.3750,	3329459894274.4634
35903.9160,	35686.5210,	3330088212805.1807
35903.9160,	35693.2543,	3330716531335.8984
35903.9160,	35702.4008,	3331344849866.6162
35903.9160,	35709.1346,	3331973168397.3345
35903.9160,	35718.2815,	3332601486928.0522
35903.9160,	35725.0157,	3333229805458.7705
35903.9160,	35734.1632,	3333858123989.4883
35903.9160,	35740.8979,	3334486442520.2061
35903.9160,	35750.0458,	3335114761050.9238
35903.9160,	35756.7809,	3335743079581.6426
35903.9160,	35765.9293,	3336371398112.3599
35903.9160,	35772.6649,	3336999716643.0781
35903.9160,	35781.8138,	3337628035173.7964
35903.9160,	35788.5498,	3338256353704.5142
35903.9160,	35797.6992,	3338884672235.2319
35903.9160,	35804.4357,	3339512990765.9502
35903.9160,	35813.5855,	3340141309296.6675
35903.9160,	35820.3225,	3340769627827.3857
35903.9160,	35829.4728,	3341397946358.1040
35903.9160,	35836.2102,	3342026264888.8223
35903.9160,	35845.3610,	3342654583419.5396
35903.9160,	35852.0988,	3343282901950.2578
35903.9160,	35861.2501,	3343911220480.9761
35903.9160,	35867.9884,	3344539539011.6934
35903.9160,	35877.1402,	3345167857542.4116
35903.9160,	35883.8789,	3345796176073.1294
35903.9160,	35893.0312,	3346424494603.8472
35903.9160,	35899.7704,	3347052813134.5654
35903.9160,	35908.9231,	3347681131665.2827
35903.9160,	35915.6627,	3348309450196.0020
35903.9160,	35924.8159,	3348937768726.7192
35903.9160,	35931.5560,	3349566087257.4370
35903.9160,	35940.7097,	3350194405788.1558
35903.9160,	35947.4502,	3350822724318.8735
35903.9160,	35956.6044,	3351451042849.5908
35903.9160,	35963.3454,	3352079361380.3091
35903.9160,	35972.5000,	3352707679911.0269
35903.9160,	35979.2414,	3353335998441.7446
35903.9160,	35988.3965,	3353964316972.4629
35903.9160,	35995.1384,	3354592635503.1816
35903.9160,	36004.2939,	3355220954033.8984
35903.9160,	36011.0363,	3355849272564.6172
35903.9160,	36020.1923,	3356477591095.3350
35903.9160,	36026.9351,	3357105909626.0527
35903.9160,	36036.0916,	3357734228156.7710
35903.9160,	36042.8349,	3358362546687.4888
35903.9160,	36051.9918,	3358990865218.2065
35903.9160,	36058.7355,	3359619183748.9243
35903.9160,	36067.8929,	3360247502279.6421
35903.9160,	36074.6371,	3360875820810.3613
35903.9160,	36081.3813,	3361504139341.0791
35903.9160,	36090.5396,	3362132457871.7969
35903.9160,	36097.2842,	3362760776402.5146
35903.9160,	36106.4430,	3363389094933.2329
35903.9160,	36113.1881,	3364017413463.9502
35903.9160,	36122.3473,	3364645731994.6685
35903.9160,	36129.0928,	3365274050525.3857
35903.9160,	36138.2525,	3365902369056.1040
35903.9160,	36144.9985,	3366530687586.8218
35903.9160,	36154.1587,	3367159006117.5405
35903.9160,	36160.9051,	3367787324648.2588
35903.9160,	36170.0657,	3368415643178.9756
35903.9160,	36176.8126,	3369043961709.6943
35903.9160,	36185.9736,	3369672280240.4116
35903.9160,	36192.7210,	3370300598771.1299
35903.9160,	36201.8825,	3370928917301.8481
35903.9160,	36208.6303,	3371557235832.5654
35903.9160,	36217.7923,	3372185554363.2837
35903.9160,	36224.5405,	3372813872894.0010
35903.9160,	36233.7029,	3373442191424.7197
35903.9160,	36240.4516,	3374070509955.4380
35903.9160,	36249.6145,	3374698828486.1558
35903.9160,	36256.3636,	3375327147016.8735
35903.9160,	35551.5428,	4025008507779.2427
35903.9160,	35561.9123,	4025636826309.9600
35903.9160,	35572.2824,	4026265144840.6787
35903.9160,	35582.6532,	4026893463371.3965
35903.9160,	35588.2052,	4027521781902.1143
35903.9160,	35598.5773,	4028150100432.8325
35903.9160,	35608.9501,	4028778418963.5508
35903.9160,	35619.3235,	4029406737494.2686
35903.9160,	35629.6975,	4030035056024.9863
35903.9160,	35635.2525,	4030663374555.7046
35903.9160,	35645.6279,	4031291693086.4224
35903.9160,	35656.0039,	4031920011617.1396
35903.9160,	35666.3806,	4032548330147.8584
35903.9160,	35676.7579,	4033176648678.5767
35903.9160,	35687.1357,	4033804967209.2939
35903.9160,	35692.6945,	4034433285740.0122
35903.9160,	35703.0737,	4035061604270.7300
35903.9160,	35713.4536,	4035689922801.4482
35903.9160,	35723.8341,	4036318241332.1660
35903.9160,	35734.2152,	4036946559862.8843
35903.9160,	35739.7770,	4037574878393.6021
35903.9160,	35750.1595,	4038203196924.3193
35903.9160,	35760.5426,	4038831515455.0381
35903.9160,	35770.9263,	4039459833985.7559
35903.9160,	35781.3106,	4040088152516.4736
35903.9160,	35786.8754,	4040716471047.1919
35903.9160,	35797.2611,	4041344789577.9097
35903.9160,	35807.6474,	4041973108108.6274
35903.9160,	35818.0343,	4042601426639.3457
35903.9160,	35828.4219,	4043229745170.0635
35903.9160,	35838.8100,	4043858063700.7817
35903.9160,	35844.3785,	4044486382231.4985
35903.9160,	35854.7680,	4045114700762.2178
35903.9160,	35865.1582,	4045743019292.9355
35903.9160,	35875.5489,	4046371337823.6533
35903.9160,	35885.9403,	4046999656354.3711
35903.9160,	35891.5118,	4047627974885.0894
35903.9160,	35901.9045,	4048256293415.8076
35903.9160,	35912.2978,	4048884611946.5254
35903.9160,	35922.6917,	4049512930477.2432
35903.9160,	35933.0863,	4050141249007.9614
35903.9160,	35938.6608,	4050769567538.6792
35903.9160,	35949.0567,	4051397886069.3970
35903.9160,	35959.4532,	4052026204600.1152
35903.9160,	35969.8503,	4052654523130.8330
35903.9160,	35980.2480,	4053282841661.5508
35903.9160,	35985.8255,	4053911160192.2690
35903.9160,	35996.2246,	4054539478722.9868
35903.9160,	36006.6243,	4055167797253.7051
35903.9160,	36017.0246,	4055796115784.4229
35903.9160,	36027.4255,	4056424434315.1411
35903.9160,	36033.0059,	4057052752845.8589
35903.9160,	36043.4082,	4057681071376.5767
35903.9160,	36053.8110,	4058309389907.2944
35903.9160,	36064.2145,	4058937708438.0127
35903.9160,	36074.6185,	4059566026968.7305
35903.9160,	36080.2020,	4060194345499.4487
35903.9160,	36090.6074,	4060822664030.1665
35903.9160,	36101.0134,	4061450982560.8848
35903.9160,	36111.4200,	4062079301091.6025
35903.9160,	36121.8272,	4062707619622.3208
35903.9160,	36127.4136,	4063335938153.0381
35903.9160,	36137.8222,	4063964256683.7563
35903.9160,	36148.2313,	4064592575214.4741
35903.9160,	36158.6411,	4065220893745.1919
35903.9160,	36169.0514,	4065849212275.9102
35903.9160,	36174.6408,	4066477530806.6279
35903.9160,	36185.0525,	4067105849337.3462
35903.9160,	36195.4648,	4067734167868.0640
35903.9160,	36205.8777,	4068362486398.7822
35903.9160,	36216.2912,	4068990804929.5000
35903.9160,	36221.8836,	4069619123460.2178
35903.9160,	36232.2984,	4070247441990.9360
35903.9160,	36242.7138,	4070875760521.6538
35903.9160,	36253.1298,	4071504079052.3716
35903.9160,	35548.3651,	4980052674470.5400
35903.9160,	35560.0701,	4980680993001.2578
35903.9160,	35571.7761,	4981309311531.9766
35903.9160,	35583.4831,	4981937630062.6924
35903.9160,	35595.1909,	4982565948593.4121
35903.9160,	35606.8998,	4983194267124.1299
35903.9160,	35618.6095,	4983822585654.8477
35903.9160,	35630.3202,	4984450904185.5664
35903.9160,	35642.0319,	4985079222716.2832
35903.9160,	35653.7445,	4985707541247.0010
35903.9160,	35665.4580,	4986335859777.7197
35903.9160,	35677.1725,	4986964178308.4375
